group,y_true_log,y_pred_log,y_true_sec,y_pred_sec,model_name,used_gpu,img_size,batch
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.13100053854241211,-0.7850456007981721,1.1399683952331543,0.45609890283740373,yolov5lu.pt,0,160,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.382294079773058,-1.8815423373911044,0.2510020732879638,0.1523549417290165,yolov5lu.pt,0,320,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.5980859407351882,-0.8910641364762932,0.5498631000518799,0.4102189914146927,yolov5lu.pt,0,640,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.2054535862942464,-0.5255412013538104,0.8142778873443604,0.5912353004200988,yolov5lu.pt,0,800,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.055939763257439955,-0.2205612523586593,1.0575339794158936,0.8020685087690098,yolov5lu.pt,0,960,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.338373077259243,0.1899813615952648,1.4026637077331543,1.2092270593838639,yolov5lu.pt,0,1120,1
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.365837951398925,-2.1659358141210494,0.2551667690277099,0.11464260021843999,yolov5lu.pt,0,160,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.7185829576793031,-1.3097705684224388,0.4874424934387207,0.2698819687279326,yolov5lu.pt,0,320,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.25779579516936485,-0.14253702744224395,1.294074535369873,0.8671554451496372,yolov5lu.pt,0,640,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.6304813199783095,0.34582188893316435,1.878514528274536,1.4131508955876504,yolov5lu.pt,0,800,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,0.9868721541782972,0.8487250082176685,2.6828298568725586,2.336665722277974,yolov5lu.pt,0,960,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.4615558180358337,1.3105846175383113,4.312664031982422,3.7083410398295253,yolov5lu.pt,0,1120,2
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-1.0081780192735845,-1.5725802621892566,0.3648831844329834,0.20750906320076726,yolov5lu.pt,0,160,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,-0.20113158529609917,-0.5187992788336728,0.8178048133850098,0.5952348301169879,yolov5lu.pt,0,320,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.1688317440530596,1.0125377803782316,3.218230724334717,2.7525775961703687,yolov5lu.pt,0,640,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.6648784550341027,1.5129035954999768,5.285030841827393,4.53989369009282,yolov5lu.pt,0,800,5
AMD Ryzen 5 4600H with Radeon Graphics | NVIDIA GeForce GTX 1650 Ti,1.9941666841599648,1.8840408208152237,7.346078872680664,6.580039976766665,yolov5lu.pt,0,960,5
